locus_tag,gene_name
slr1841,slr1841
slr1214,lsiR
slr1043,cheW
ssr0757_5'UTR,ssr0757
slr2048,slr2048
slr1853,slr1853
slr1044,ctr1
slr0905,bchE
sll1951-as,sll1951-as
sll1940,sll1940
slr0906,psbB
sll0295-as2,sll0295-as2
sll0297,sll0297
slr0888,slr0888
slr0480,ycf46
slr0287,slr0287
slr0093,dnaJ
slr0527,exsB
slr0877,slr0877
sll0656,nucH
sll1814_5'UTR,secY
sll1757_5'UTR,sll1757
slr0940,crtQ-2
sll0691,sll0691
sll0828,nylA
sll1360,dnaX
slr0222,hik25
slr0941,slr0941
sll1800-as,sll1800-as
sll1581,gumB
ncl0280,ncl0280
slr0993_3'UTR,nlpD
slr1115,slr1115
ssr3184,ssr3184
ssr1513-as,ssr1513-as
ssr1155,ssr1155
slr0668,slr0668
sll0172,sll0172
slr0523,bioD
slr1720,aspS
sll1584,sll1584
slr1516,sodB
slr0862,lmbP
slr0220,glyS
ssr1407,ssr1407
slr1565,slr1565
slr0149,slr0149
slr0528,murE
ssr0692,ssr0692
slr0857,slr0857
slr1224,malK
sll1921,sll1921
slr0967,slr0967
sll0741,nifJ
slr1147-as2,slr1147-as2
slr1692,slr1692
slr1222,slr1222
sll0543,sll0543
sll1833-as,sll1833-as
slr1332,fabF
slr0479-as,slr0479-as
sll1318,sll1318
slr1788,slr1788
slr7096,slr7096
slr1383,slr1383
sll1435_5'UTR,pet112
ncl0310,ncl0310
slr0118,thiC
sll1282,ribH
sll0237,sll0237
slr1653,ama
slr0586,slr0586
sll1572,dnaE
sll0225,sll0225
sll1833,ftsI
slr1181,psbA1
slr1789,slr1789
sll0451,sll0451
sll1232,sll1232
slr1305,slr1305
slr0623_5'UTR,trxA
slr0171,ycf37
ssr1736,rpl32
ncl1400,ncl1400
sll0445,sll0445
slr1028-as3,slr1028-as3
ssl0318,ssl0318
sll1244,rpl9
sll1290,rnb
slr1626,slr1626
slr1844,uvrA
slr1174,slr1174
slr0342,petB
slr2108,kpsT
sll1686,sll1686
sll0329,gnd
smr0011,rpl34
slr1639,smpB
sll1878,sll1878
slr1764,capA
slr2041,divK
slr1852,slr1852
sll1858,sll1858
ssr2067,ssr2067
sll0550,sll0550
slr1878,cpcE
sll2001,lap
slr0744,infB
ssl2069_5'UTR,ssl2069
sll1740,rpl19
sll1879,ycf55
sll0319,sll0319
slr0286,slr0286
slr0201,hdrB
slr5053,slr5053
slr0241,slr0241
sll1085,glpD
sll0672,pacL
sll1107_5'UTR,sll1107
slr1351,murF
sll0549,sll0549
slr0740,slr0740
6803t15_5'UTR,6803t15_5'UTR
